#{"t_start": 1627412238.6846633, "env_id": "CliffWalking-v0"}
r,l,t
-43781,11903,81.651179
-7084,154,83.167354
-20149,448,85.261409
-29358,450,88.617648
-3289,121,90.063228
-14122,361,91.987634
-2653,79,92.145512
-5758,115,93.568048
-4730,77,93.728029
-8083,163,95.298732
-7756,232,96.955577
-13365,198,97.361107
-1398,111,98.786256
-21988,307,100.630563
-7100,170,102.201077
-6446,110,102.42064
-3151,82,102.591694
-2741,68,103.944489
-239,41,104.028116
-773,80,104.194199
-4724,71,104.338138
-1528,43,105.641704
-2117,38,105.716478
-2120,41,105.795557
-3522,57,105.91042
-1479,93,106.09499
-5052,102,107.493912
-1820,38,107.572038
-415,19,107.60852
-619,25,107.660176
-3130,61,107.774959
-726,33,109.041986
-2119,40,109.117193
-1328,41,109.194945
-621,27,109.253574
-742,49,109.344373
-1915,34,109.408006
-315,18,109.441874
-2352,75,110.829297
-220,22,110.87198
-725,32,110.934237
-1081,91,111.109839
-319,22,111.15167
-117,18,111.18559
-853,61,112.518851
-928,37,112.599189
-335,38,112.682137
-1232,44,112.7703
-1533,48,112.869798
-34,34,112.945009
-120,21,114.196379
-579,84,114.36443
-466,70,114.50351
-1629,45,114.599729
-737,143,116.080897
-5249,101,116.282252
-717,24,116.329512
-516,21,116.369933
-1550,65,117.716018
-455,59,117.832847
-1429,43,117.917196
-1528,43,118.003393
-219,21,118.045031
-2020,40,118.123005
-5127,78,119.461486
-2529,54,119.567032
-1519,34,119.633307
-15,15,119.667742
-1418,32,119.729406
-2329,52,120.91927
-6230,92,121.109001
-2828,56,121.217589
-1829,47,121.307962
-3348,81,122.59485
-428,32,122.657674
-716,23,122.704159
-127,28,122.763901
-824,32,122.827594
-420,24,122.875787
-19,19,122.913285
-623,29,122.970133
-276,78,124.331474
-930,39,124.409646
-1413,27,124.463302
-4130,71,124.60333
-9136,127,126.080392
-19,19,126.119488
-121,22,126.16367
-1327,40,126.243584
-120,21,126.285754
-830,38,126.362929
-1522,37,126.441206
-422,26,126.490361
-680,86,127.860939
-10830,138,128.126998
-5031,81,129.460149
-216,18,129.493852
-23,23,129.541524
-456,60,129.654593
-1351,64,129.77584
-23,23,129.819086
-6923,92,131.181993
-5728,85,131.343524
-3814,52,131.443278
-2729,56,131.550561
-415,19,132.786555
-523,28,132.840087
-250,52,132.937779
-1220,32,132.998084
-314,17,133.030571
-1984,103,133.224584
-22,22,134.43769
-5922,81,134.592539
-520,25,134.640802
-9037,127,134.888735
-1027,37,136.151745
-662,68,136.282872
-15,15,136.312137
-39,39,136.38714
-63,63,136.508199
-537,42,136.587464
-2240,62,137.920353
-5050,100,138.113514
-1646,62,138.228019
-314,17,138.261213
-213,15,138.29006
-318,21,139.529737
-120,21,139.569224
-1422,36,139.637583
-127,28,139.69555
-1443,57,139.807572
-821,29,139.863784
-817,25,139.912981
-830,38,139.987557
-2528,53,141.182657
-562,67,141.315703
-3762,99,141.510088
-21,21,141.551679
-1627,43,142.719876
-339,42,142.804058
-60,60,142.92116
-4084,124,143.173897
-423,27,144.405281
-1123,34,144.468172
-940,49,144.560545
-634,40,144.635411
-1834,52,144.732095
-418,22,144.774069
-115,16,144.804089
-1338,51,146.066706
-18,18,146.100632
-714,21,146.141437
-1637,53,146.24061
-513,18,146.274297
-1050,60,146.38736
-1334,47,146.479183
-38,38,147.747885
-2824,52,147.851535
-4026,66,147.978807
-1113,24,148.025622
-938,47,148.115671
-3730,67,149.437505
-525,30,149.495406
-424,28,149.550053
-726,33,149.614361
-332,35,149.681803
-220,22,149.724657
-19,19,149.761355
-415,19,149.799135
-3444,78,151.126012
-628,34,151.1904
-216,18,151.225091
-1028,38,151.298372
-387,90,151.465417
-219,21,151.506308
-836,44,152.764088
-117,18,152.799153
-1937,56,152.910576
-531,36,152.980132
-313,16,153.011343
-22,22,153.053324
-418,22,153.095011
-2020,40,153.171406
-1325,38,154.435141
-18,18,154.470396
-1530,45,154.558659
-4742,89,154.738038
-218,20,154.776662
-1035,45,154.862358
-2428,52,156.150002
-917,26,156.201022
-4548,93,156.382634
-1226,38,156.457483
-740,47,156.549456
-440,44,157.836596
-1436,50,157.934937
-514,19,157.973307
-921,30,158.032604
-415,19,158.070566
-1029,39,158.146968
-929,38,158.223099
-15,15,158.253283
-726,33,159.439307
-121,22,159.482797
-19,19,159.519888
-616,22,159.563446
-318,21,159.605605
-620,26,159.656253
-220,22,159.698505
-226,28,159.752542
-214,16,159.783495
-1017,27,159.837056
-117,18,159.872083
-37,37,161.123922
-930,39,161.199862
-116,17,161.232842
-121,22,161.275481
-26,26,161.325809
-115,16,161.356823
-513,18,161.392808
-432,36,161.46294
-1215,27,161.515451
-1938,57,162.815968
-217,19,162.853025
-816,24,162.900705
-813,21,162.941524
-1131,42,163.023897
-516,21,163.065115
-933,42,163.147555
-841,49,163.243764
-531,36,164.498961
-618,24,164.552449
-1240,52,164.656061
-214,16,164.693027
-3224,56,164.801206
-1151,62,164.918621
-933,42,166.092253
-216,18,166.128082
-424,28,166.186671
-225,27,166.242919
-14,14,166.270615
-515,20,166.310079
-127,28,166.366971
-1322,35,166.432956
-1024,34,166.498305
-1519,34,166.568076
-721,28,167.825325
-2958,87,167.994933
-524,29,168.051729
-114,15,168.080288
-1719,36,168.14829
-24,24,168.19324
-2243,65,169.507019
-615,21,169.545573
-823,31,169.60898
-225,27,169.667413
-15,15,169.696423
-320,23,169.740791
-13,13,169.76594
-19,19,169.802699
-328,31,169.862277
-28,28,169.916539
-15,15,169.945648
-1882,100,171.338232
-13,13,171.363383
-215,17,171.396953
-630,36,171.467097
-19,19,171.503599
-115,16,171.534025
-24,24,171.58115
-724,31,171.640898
-19,19,172.850421
-216,18,172.885441
-227,29,172.940876
-233,35,173.007092
-125,125,173.25382
-1026,36,173.326881
-118,19,174.532759
-730,37,174.605386
-214,16,174.637055
-115,16,174.668789
-17,17,174.702961
-820,28,174.757741
-2529,54,174.859472
-315,18,174.893626
-816,24,174.940887
-315,18,174.977131
-15,15,175.006849
-1821,39,176.263658
-446,50,176.360665
-319,22,176.404803
-1127,38,176.479436
-1846,64,176.608667
-720,27,176.661572
-123,24,177.881446
-322,25,177.931608
-18,18,177.973197
-24,24,178.021045
-432,36,178.092474
-829,37,178.166193
-17,17,178.200128
-125,26,178.255899
-231,33,178.320671
-1315,28,178.374221
-1047,57,179.670448
-1316,29,179.727129
-438,42,179.808509
-1115,26,179.861099
-815,23,179.906408
-27,27,179.959582
-115,16,179.990728
-518,23,180.036904
-23,23,181.272521
-114,15,181.303266
-1749,66,181.436631
-314,17,181.470647
-515,20,181.50794
-820,28,181.560838
-521,26,181.611191
-431,35,181.67859
-117,18,181.715696
-213,15,181.750014
-926,35,182.99896
-24,24,183.046076
-600,105,183.251066
-322,25,183.300719
-19,19,183.33845
