#{"t_start": 1627414367.7539773, "env_id": "CliffWalking-v0"}
r,l,t
-15141,1281,10.12171
-2258,179,10.496363
-3619,154,12.009388
-127,28,12.065769
-798,105,12.276507
-1329,42,12.367513
-4328,170,13.912601
-1768,85,14.089777
-1766,83,15.462367
-2599,124,15.709244
-7261,133,17.166011
-1836,54,17.273017
-830,38,17.347835
-3254,86,18.634703
-10435,139,18.912336
-33,33,18.978466
-2860,88,20.363765
-414,18,20.404059
-4288,130,20.655109
-319,22,20.698174
-324,27,20.756197
-951,60,22.130881
-3153,84,22.300729
-1220,32,22.365963
-1725,42,22.449834
-474,78,22.607117
-4203,144,24.107868
-2026,46,24.198246
-2143,64,24.323767
-1525,40,25.609926
-3026,155,25.919599
-3549,84,27.314511
-5085,135,27.590245
-1273,85,27.758987
-180,81,29.128804
-733,40,29.208627
-5845,103,29.422694
-2337,60,29.542773
-38,38,30.79539
-733,40,30.877051
-1018,28,30.93313
-234,36,31.005493
-128,29,31.064753
-223,25,31.115476
-513,18,31.157389
-4204,145,32.652673
-323,26,32.704874
-1468,82,32.87278
-6556,121,34.308074
-224,26,34.361934
-2553,78,34.51594
-642,48,34.610791
-317,20,34.651126
-818,26,35.922449
-1232,44,36.010303
-1042,52,36.113794
-417,21,36.155298
-1116,27,36.208661
-328,31,36.270915
-1629,45,36.360512
-20,20,37.596064
-1440,54,37.705809
-1636,52,37.808212
-127,28,37.866172
-1031,41,37.948114
-1238,50,38.048594
-129,30,39.318069
-2727,54,39.429291
-226,28,39.483614
-620,26,39.533592
-521,26,39.585712
-426,30,39.643562
-126,27,39.695468
-1724,41,39.776032
-216,18,39.810871
-821,29,41.078522
-1333,46,41.170085
-429,33,41.238526
-122,23,41.284763
-1426,40,41.365571
-1425,39,41.446986
-24,24,41.494406
-325,28,42.750458
-1650,66,42.8859
-1518,33,42.951492
-718,25,43.001153
-233,35,43.07311
-324,27,43.127048
-1540,55,43.237871
-951,60,44.580999
-732,39,44.662772
-323,26,44.715513
-15,15,44.745592
-529,34,44.813311
-1413,27,44.867918
-417,21,44.909755
-1222,34,44.977346
-525,30,46.240084
-1329,42,46.324162
-916,25,46.379021
-428,32,46.443768
-1519,34,46.513617
-116,17,46.547611
-2436,60,46.669499
-923,32,47.964632
-820,28,48.030653
-29,29,48.089347
-13,13,48.121728
-323,26,48.172813
-1021,31,48.234668
-215,17,48.267677
-25,25,48.317178
-20,20,48.356652
-1018,28,48.41271
-221,23,48.459812
-1124,35,49.754264
-16,16,49.786563
-1124,35,49.857427
-28,28,49.915327
-227,29,49.97259
-816,24,50.020707
-627,33,50.087777
-2744,71,51.445965
-1128,39,51.528286
-19,19,51.565849
-721,28,51.621288
-119,20,51.661697
-423,27,51.715861
-319,22,51.760173
-235,37,51.834322
-1120,31,51.897014
-419,23,51.942391
-925,34,53.205202
-431,35,53.274602
-1722,39,53.353745
-1131,42,53.438121
-322,25,53.488179
-837,45,53.581675
-227,29,53.640493
-324,27,54.802237
-25,25,54.858117
-919,28,54.912755
-19,19,54.949822
-1222,34,55.017999
-228,30,55.080658
-2029,49,55.18095
-415,19,55.216656
-15,15,55.246415
-3618,54,56.566567
-1627,43,56.654929
-3327,60,56.774937
-313,16,56.806318
-5224,76,56.955252
-20,20,56.995091
-428,32,58.269017
-16,16,58.304311
-217,19,58.342542
-226,28,58.399186
-3140,71,58.540915
-218,20,58.58106
-826,34,58.650029
-2419,43,58.736264
-724,31,60.002589
-334,37,60.074384
-528,33,60.1464
-1624,40,60.222563
-519,24,60.272635
-720,27,60.324609
-326,29,60.380254
-327,30,60.438659
-222,24,61.684922
-129,30,61.743787
-633,39,61.819928
-516,21,61.861177
-1134,45,61.950404
-828,36,62.021071
-313,16,62.052292
-2234,56,62.161531
-113,14,63.399373
-117,18,63.439912
-116,17,63.472869
-835,43,63.558487
-13,13,63.584594
-1626,42,63.66828
-13,13,63.694348
-16,16,63.726471
-531,36,63.798778
-228,30,63.85939
-117,18,65.013424
-588,93,65.19851
-315,18,65.235146
-122,23,65.280971
-1537,52,65.383655
-14,14,65.411133
-615,21,65.452063
-2434,58,66.784626
-513,18,66.819801
-1831,49,66.914202
-1013,23,66.959013
-515,20,66.997505
-216,18,67.032619
-566,71,67.170033
-988,295,70.181586
-4932,81,70.338714
-2816,44,70.430197
-414,18,70.465472
-627,528,73.858221
-1014,24,73.904692
-3212,242,75.479784
-215,17,75.513757
-513,18,75.549665
-1334,47,76.81625
-1313,26,76.870808
-2631,57,76.98202
-985,193,78.523081
-213,15,78.553592
-113,14,78.581675
-630,36,78.65415
-2118,39,78.73276
-117,18,78.768586
-617,23,78.820001
-1426,40,78.899501
-381,282,80.610787
-366,168,82.062084
-316,19,82.099296
-8130,111,83.527687
-613,19,83.565373
-17,17,83.598547
-4134,75,83.752982
-2417,41,83.831834
-515,20,83.870261
-944,53,83.974458
-2938,166,85.506257
-17,17,85.540842
-416,20,85.582409
-223,25,85.633727
-1616,32,85.696414
-3025,55,86.982632
-520,25,87.032128
-215,17,87.065795
-635,41,87.146662
-513,18,87.182028
-2530,55,87.289308
-2205,126,88.75592
-3835,73,88.900441
-1228,40,88.979889
-3018,48,89.075354
-115,16,89.107655
-1523,38,90.407674
-13,13,90.433346
-113,14,90.461751
-113,14,90.49127
-2015,35,90.564702
-1715,32,90.626058
-215,17,90.658362
-2727,54,90.760955
-516,21,90.800482
-417,21,90.843137
-713,20,92.110103
-1021,31,92.171013
-313,16,92.202055
-419,23,92.24831
-1620,36,92.324466
-1416,30,92.384064
-17,17,92.417339
-1618,34,92.481318
-325,28,92.535358
-121,22,92.580314
-616,22,93.852513
-13,13,93.879045
-13,13,93.905106
-1826,44,93.997051
-321,24,94.045013
-21,21,94.086719
-13,13,94.112191
-1321,34,94.17804
-318,21,94.225577
-14,14,94.252899
-13,13,94.278101
-15,15,94.307968
-1621,37,95.514992
-418,22,95.561122
-13,13,95.595061
-513,18,95.629786
-1737,54,95.733404
-247,49,95.828271
-214,16,95.86123
-217,19,95.89868
-818,26,95.954594
-1550,65,97.293844
-216,18,97.329756
-116,17,97.364058
-222,24,97.411617
-914,23,97.457336
-215,17,97.49126
-221,23,97.536346
-317,20,97.575891
-618,24,97.6234
-418,22,97.667551
-513,18,98.898862
-113,14,98.92924
-522,27,98.982784
-32,32,99.046204
-17,17,99.078255
-218,20,99.11635
-440,44,99.202218
-14,14,99.22953
-515,20,99.268028
-213,15,99.296903
-518,23,99.342533
-16,16,99.373901
-15,15,100.591396
-324,27,100.646495
-614,20,100.686561
-14,14,100.713785
-2822,50,100.812293
-1016,26,100.86402
-113,14,100.892294
-217,19,100.930075
-125,26,100.981176
-13,13,101.006204
-13,13,101.032868
-1229,41,102.303792
-216,18,102.340126
-213,15,102.37051
-214,16,102.402315
-414,18,102.437856
-214,16,102.468934
-17,17,102.50221
-13,13,102.52793
-119,20,102.566998
-113,14,102.594548
-228,30,102.653874
-324,27,102.706935
-813,21,102.748204
-121,22,103.992043
-117,18,104.029934
-216,18,104.066478
-116,17,104.10112
-28,28,104.157269
-13,13,104.183076
-218,20,104.222698
-926,35,104.293088
-13,13,104.318661
-314,17,104.353729
-435,39,104.430697
-121,22,104.473308
-113,14,105.70136
-16,16,105.736551
-214,16,105.768645
-113,14,105.796699
-14,14,105.824148
-25,25,105.874125
-114,15,105.903775
-528,33,105.967645
-116,17,106.000592
-217,19,106.037876
-614,20,106.077796
-15,15,106.107986
-113,14,106.136251
-214,16,106.168487
-413,17,106.202287
-114,15,107.462083
-14,14,107.490507
-15,15,107.520946
-219,21,107.562763
-17,17,107.5967
-517,22,107.640547
-117,18,107.676491
-14,14,107.704657
-15,15,107.734548
-13,13,107.760534
-119,20,107.800264
-114,15,107.830163
-13,13,107.857543
-930,39,107.934578
-16,16,109.171202
-622,28,109.229182
-13,13,109.255929
-317,20,109.296105
-222,24,109.345
-324,27,109.400032
-13,13,109.426857
-115,16,109.459373
-116,17,109.493334
-13,13,109.520404
-123,24,109.568676
-18,18,109.604979
-113,14,109.633847
-13,13,109.66065
-315,18,110.820763
-213,15,110.852483
-114,15,110.884114
-118,19,110.922865
-15,15,110.953059
-14,14,110.981453
-117,18,111.018271
-530,35,111.089188
-120,21,111.132053
-114,15,111.162634
-15,15,111.192806
-422,26,111.24551
-217,19,111.283676
-14,14,111.310532
-424,28,112.58706
-17,17,112.62129
-113,14,112.649392
-218,20,112.688739
-113,14,112.716862
-214,16,112.74826
-325,28,112.804156
-315,18,112.840286
-113,14,112.868734
-216,18,112.904893
-119,20,112.944394
-321,24,112.992742
-13,13,113.018673
-16,16,113.050919
-15,15,114.321441
-15,15,114.35274
-113,14,114.380973
-113,14,114.408554
-13,13,114.434283
-13,13,114.461112
-317,20,114.500505
-113,14,114.528356
-13,13,114.55421
-114,15,114.583921
-213,15,114.614086
-13,13,114.640251
-14,14,114.668113
-13,13,114.694028
-230,32,114.757057
-314,17,114.790877
-13,13,116.052894
-13,13,116.079886
-13,13,116.106542
-13,13,116.132868
-13,13,116.159277
-13,13,116.185726
-13,13,116.21212
-513,18,116.249573
-13,13,116.27608
-13,13,116.30255
-217,19,116.341009
-113,14,116.369348
-13,13,116.39515
-213,15,116.425924
-124,25,116.476871
-13,13,116.503034
-13,13,116.529719
-13,13,116.556103
-16,16,117.808307
-13,13,117.835911
-13,13,117.863425
-113,14,117.891855
-221,23,117.939188
-117,18,117.975893
-13,13,118.002188
-13,13,118.029139
-213,15,118.059734
-14,14,118.088485
-223,25,118.139846
-13,13,118.166599
-16,16,118.199215
-13,13,118.225502
-13,13,118.251877
-13,13,118.278355
-15,15,118.308503
-13,13,119.552351
-15,15,119.583485
-15,15,119.614018
-13,13,119.640053
-13,13,119.666398
-13,13,119.69289
-13,13,119.718851
-13,13,119.743935
-13,13,119.769751
-117,18,119.806501
-13,13,119.834076
-14,14,119.861876
-13,13,119.887248
-13,13,119.912627
-13,13,119.938538
-13,13,119.963931
-116,17,119.997645
-13,13,120.023011
-113,14,121.251228
-13,13,121.278298
-113,14,121.306747
-13,13,121.333287
-13,13,121.359876
-213,15,121.390703
-13,13,121.417331
-13,13,121.443863
-13,13,121.470381
-13,13,121.497117
-13,13,121.523638
-113,14,121.552431
-13,13,121.578911
-13,13,121.605301
-13,13,121.631894
-13,13,121.658501
-13,13,121.685072
-14,14,121.713611
-14,14,121.742391
-113,14,123.015685
-15,15,123.050339
-13,13,123.078029
-13,13,123.105079
-13,13,123.132675
-13,13,123.159724
-13,13,123.186951
-114,15,123.218573
-13,13,123.245711
-19,19,123.291189
-113,14,123.319656
-15,15,123.354622
-13,13,123.381726
-13,13,123.408705
-13,13,123.437005
-13,13,123.468193
-113,14,123.497016
-13,13,123.523938
-13,13,123.550627
-13,13,124.808046
-118,19,124.849091
-13,13,124.875488
-13,13,124.901498
-13,13,124.927574
-13,13,124.953983
-15,15,124.984558
