#{"t_start": 1630964730.1864092, "env_id": "CliffWalking-v0"}
r,l,t
-71914,2218,12.186366
-4361,104,13.242348
-3732,69,13.346238
-20914,322,14.798595
-12473,197,16.017527
-1133,44,16.080548
-6984,153,17.245758
-1486,100,17.395481
-8301,183,18.630727
-5633,89,18.76198
-3529,64,18.85632
-5865,123,19.99846
-2720,47,20.064389
-3035,65,20.153702
-449,53,20.231266
-4115,56,21.235237
-615,120,21.412919
-4491,135,22.494108
-1133,44,22.555498
-2040,60,22.644462
-2555,80,22.762512
-1017,126,23.822605
-1238,50,23.892549
-515,20,23.920375
-10046,146,25.063495
-839,47,25.129292
-3753,90,25.256451
-2959,88,26.305364
-1825,43,26.364255
-7948,127,26.541378
-123,24,26.575072
-4726,172,27.75788
-15,15,27.779725
-821,29,27.820455
-4732,79,28.879773
-926,35,28.928413
-940,49,29.00736
-1271,83,29.125153
-2734,61,29.207036
-6269,131,30.361079
-667,73,30.464474
-631,37,30.513983
-520,25,30.553857
-730,37,31.542108
-221,23,31.579792
-145,46,31.643432
-643,49,31.714219
-1424,38,31.766816
-2046,66,31.856943
-1357,70,32.902427
-616,22,32.932518
-163,64,33.025034
-948,57,33.103518
-2037,57,34.116797
-3236,68,34.212718
-618,24,34.244294
-1974,93,34.372584
-2746,73,35.414877
-2226,48,35.489381
-4926,75,35.593759
-829,37,35.645258
-2245,67,35.738833
-3507,141,36.867028
-1076,86,36.988798
-2019,39,37.043314
-1938,57,38.055177
-4342,85,38.169299
-9012,201,39.392698
-2118,39,39.445918
-165,66,39.538788
-1438,52,39.611508
-121,22,39.642322
-8656,142,40.786212
-7350,123,41.881593
-2857,85,42.000018
-2250,72,42.100287
-5261,113,43.170159
-235,37,43.222279
-2258,80,43.33732
-1720,37,43.389673
-523,28,43.428868
-820,28,43.467975
-2325,48,44.389535
-2839,67,44.481136
-1042,52,44.552966
-121,22,44.583457
-830,38,44.635936
-3165,96,45.699918
-619,25,45.734425
-1148,59,45.815885
-327,30,45.857663
-128,29,45.897239
-820,28,45.93588
-750,57,46.931077
-118,19,46.957488
-67,67,47.050983
-219,21,47.080455
-1113,24,47.113596
-322,25,47.148833
-20,20,47.176621
-132,33,47.222749
-320,23,47.254167
-645,51,48.234046
-529,34,48.281138
-213,15,48.301585
-545,50,48.371425
-332,35,48.421857
-338,41,48.476331
-332,35,48.529563
-224,26,49.371281
-2167,88,49.498621
-431,35,49.547565
-18,18,49.571594
-118,19,49.59674
-220,22,49.631243
-1944,63,50.643968
-522,27,50.681805
-341,44,50.742539
-32,32,50.786773
-319,22,50.823063
-522,27,50.85983
-17,17,50.8852
-322,25,50.92178
-18,18,50.946594
-27,27,50.982711
-632,38,51.95188
-17,17,51.976261
-719,26,52.013026
-330,33,52.058525
-317,20,52.086517
-122,23,52.119023
-15,15,52.140318
-517,22,52.171223
-229,31,52.213965
-730,37,52.265354
-625,31,53.237039
-356,59,53.317195
-122,23,53.348839
-20,20,53.376168
