#{"t_start": 1626620689.664533, "env_id": "MountainCar-v0"}
r,l,t
-200.0,200,1.6308
-200.0,200,2.958524
-200.0,200,4.25786
-200.0,200,5.422156
-200.0,200,5.714268
-200.0,200,6.989061
-200.0,200,8.248513
-200.0,200,9.402211
-200.0,200,10.714996
-200.0,200,11.067342
-200.0,200,12.400886
-200.0,200,13.673534
-200.0,200,14.971818
-200.0,200,15.396614
-200.0,200,16.787436
-200.0,200,18.23359
-200.0,200,19.486064
-200.0,200,20.828753
-200.0,200,21.259701
-200.0,200,22.553566
-200.0,200,23.828334
-200.0,200,25.06935
-200.0,200,25.521709
-200.0,200,26.640968
-200.0,200,27.882636
-200.0,200,29.24685
-200.0,200,30.612621
-200.0,200,31.026666
-200.0,200,32.381693
-200.0,200,33.641959
-200.0,200,35.04863
-200.0,200,35.451672
-200.0,200,36.800296
-200.0,200,38.198282
-200.0,200,39.544677
-200.0,200,40.862849
-200.0,200,41.241843
-200.0,200,42.457808
-200.0,200,43.631377
-200.0,200,44.915401
-200.0,200,46.16065
-200.0,200,46.49284
-200.0,200,47.770922
-200.0,200,49.056221
-200.0,200,50.375504
-200.0,200,50.733574
-200.0,200,52.01881
-200.0,200,53.180488
-200.0,200,54.318158
-200.0,200,55.424211
-200.0,200,55.730651
-200.0,200,56.981098
-200.0,200,58.220034
-200.0,200,59.337938
-200.0,200,59.659963
-195.0,195,60.903103
-200.0,200,62.193976
-200.0,200,63.418128
-161.0,161,63.6706
-200.0,200,64.992817
-159.0,159,66.186576
-170.0,170,66.452431
-151.0,151,67.634565
-168.0,168,67.882849
-165.0,165,68.111074
-170.0,170,68.345652
-200.0,200,68.63111
-200.0,200,68.90425
-200.0,200,69.189192
