#{"t_start": 1626620908.540039, "env_id": "MountainCar-v0"}
r,l,t
-200.0,200,1.676814
-200.0,200,2.923912
-200.0,200,4.233597
-200.0,200,5.48305
-200.0,200,5.829247
-200.0,200,6.995944
-200.0,200,8.328342
-200.0,200,9.782394
-200.0,200,11.266738
-200.0,200,11.780405
-200.0,200,13.180954
-200.0,200,14.596977
-200.0,200,16.092003
-200.0,200,16.467445
-200.0,200,17.864455
-200.0,200,19.295775
-200.0,200,20.703357
-200.0,200,22.127273
-200.0,200,22.651383
-200.0,200,23.99274
-200.0,200,25.375868
-200.0,200,26.699058
-200.0,200,27.090492
-200.0,200,28.369469
-170.0,170,29.647404
-167.0,167,30.890063
-167.0,167,31.202302
-162.0,162,32.418809
-163.0,163,32.698677
-163.0,163,33.967224
-177.0,177,35.238306
-157.0,157,35.519414
-94.0,94,36.597342
-166.0,166,36.916561
-165.0,165,38.129968
-95.0,95,38.2933
-166.0,166,39.516243
-156.0,156,40.693706
-166.0,166,40.98128
-160.0,160,42.196692
-157.0,157,43.356787
-172.0,172,43.655257
-153.0,153,44.942478
-159.0,159,45.226344
-154.0,154,46.346094
-160.0,160,47.59236
-160.0,160,47.861916
-90.0,90,48.97394
-155.0,155,49.249323
-93.0,93,50.336554
-152.0,152,50.602911
-91.0,91,51.734056
-87.0,87,51.885759
-152.0,152,53.111854
-153.0,153,53.37805
-158.0,158,54.571588
-151.0,151,54.830261
-152.0,152,56.018318
-156.0,156,57.239189
-153.0,153,57.511973
-92.0,92,58.57525
-149.0,149,58.830068
-89.0,89,58.990692
-150.0,150,60.22422
-153.0,153,61.412622
-89.0,89,61.563575
-146.0,146,62.738866
-152.0,152,63.023852
-153.0,153,64.219774
-168.0,168,64.53773
-150.0,150,65.739417
-86.0,86,65.892404
-147.0,147,66.968513
-158.0,158,68.176428
-147.0,147,68.444147
-143.0,143,69.821971
-148.0,148,70.067743
-175.0,175,70.350747
-146.0,146,70.584337
-151.0,151,70.831229
-147.0,147,71.070567
-141.0,141,71.297863
