#{"t_start": 1630957955.083968, "env_id": "Pendulum-v0"}
r,l,t
-1332.277933,200,1.909061
-1800.687592,200,3.214588
-1546.317903,200,4.464522
-1373.421369,200,5.741231
-1655.427177,200,6.117491
-1575.200936,200,7.53897
-1656.330715,200,8.913159
-1492.816691,200,10.236106
-1506.304622,200,11.491672
-1849.017773,200,11.81498
-1586.862728,200,13.218792
-1536.099857,200,14.571956
-1419.018507,200,15.959866
-1430.377263,200,16.311164
-1558.973148,200,17.678427
-1156.118037,200,19.032407
-1487.722871,200,20.439088
-1424.727325,200,21.819048
-866.13372,200,22.168631
-1262.594907,200,23.400537
-790.666359,200,24.74747
-1214.409583,200,26.129517
-1182.69754,200,26.457525
-940.052555,200,27.833711
-1663.96411,200,29.139047
-903.530532,200,30.477011
-964.913181,200,31.699458
-1008.102542,200,32.003969
-1276.326574,200,33.309113
-1630.327449,200,34.707195
-1536.487814,200,36.089877
-1305.206092,200,36.495198
-1010.672744,200,37.876057
-964.450593,200,39.294489
-1063.758001,200,40.644826
-1356.842889,200,41.960645
-1009.071866,200,42.259673
-1018.755815,200,43.630264
-1546.347341,200,44.99473
-1106.617634,200,46.328417
-1293.65768,200,47.70469
-1671.403017,200,48.115736
-1019.61136,200,49.412997
-1318.659703,200,50.669801
-977.345354,200,51.932463
-1723.085664,200,52.229599
-1298.553551,200,53.624877
-1355.133473,200,54.971233
-1173.644195,200,56.294436
-1317.436261,200,57.68105
-1787.342803,200,58.094796
-1571.493447,200,59.493444
-968.235171,200,60.77972
-901.52452,200,62.165524
-1467.584609,200,62.576991
-1217.646163,200,63.923756
-853.834765,200,65.18809
-1061.725357,200,66.49228
-1767.276331,200,67.798724
-1785.968319,200,68.118895
-1040.00608,200,69.497125
-1329.881861,200,70.859204
-1171.510357,200,72.202993
-1790.04039,200,72.615344
-1484.296278,200,73.996837
-1681.644314,200,75.410884
-1109.885784,200,76.831496
-1085.653834,200,78.203072
-1465.025029,200,78.616324
-1567.290222,200,80.05617
-1721.878044,200,81.451751
-1068.171252,200,82.815897
-1300.225696,200,84.137393
-1754.086401,200,84.505379
-1045.117235,200,85.895506
-1163.477053,200,87.312053
-1289.893822,200,88.685009
-1467.536427,200,89.011873
-1104.282457,200,90.307795
-1524.563852,200,91.621328
-893.144093,200,92.990886
-967.874722,200,94.456792
-1519.600162,200,94.897171
-934.215284,200,96.300971
-1216.679993,200,97.66242
-1362.471305,200,99.083231
-1070.275213,200,99.475711
-1429.67008,200,100.817349
-995.128895,200,102.122812
-1170.802685,200,103.435682
-889.746104,200,104.737489
-856.317966,200,105.061119
-1070.179647,200,106.439795
-1575.15718,200,107.901653
-1497.02916,200,109.329685
-1021.96973,200,109.661547
-872.440492,200,111.058229
-1473.066972,200,112.401243
-1481.654849,200,113.757281
-1747.64696,200,115.097689
-1053.852354,200,115.527767
-988.214873,200,116.883358
-1607.208683,200,118.188704
-891.635959,200,119.534156
-1728.590283,200,120.862536
-968.437276,200,121.261577
-1071.176112,200,122.627085
-975.798583,200,123.992777
-1325.389105,200,125.307907
-1579.821532,200,125.61833
-1221.924028,200,126.931617
-1739.420275,200,128.277334
-1811.152039,200,129.584867
-1750.141902,200,130.885784
-1771.708815,200,131.297713
-1488.091261,200,132.677801
-1530.130262,200,134.054721
-1433.313394,200,135.379621
-1619.542667,200,135.765436
-1232.76902,200,137.114482
-1182.446726,200,138.524494
-1207.003147,200,139.946106
-763.538593,200,141.253958
-1376.790224,200,141.621711
-1805.646285,200,142.948434
-833.052285,200,144.296465
-1071.121423,200,145.616814
-975.577953,200,145.92507
-1165.786902,200,147.34214
-1028.446656,200,148.70504
-1261.064215,200,150.105048
-1009.71509,200,151.499494
-1671.350059,200,151.802007
-760.636541,200,153.151279
-969.429683,200,154.458273
-1447.781457,200,155.740256
-1348.273655,200,157.003075
-1396.82657,200,157.381357
-842.641381,200,158.763473
-1324.433678,200,160.168427
-1291.783138,200,161.489352
