#{"t_start": 1630945963.6377113, "env_id": "imitationNM/SortingOnions-v0"}
r,l,t
0.0,1,1.58266
-0.06192,3,1.593846
0.0,1,1.596495
0.0,1,1.598598
0.0,1,1.600349
0.0,1,1.602087
0.0,1,1.603786
0.0,1,1.605394
0.0,1,1.607166
0.0,1,1.609092
0.0,1,1.610887
0.0,1,1.612966
0.185759,2,1.616247
0.0,1,1.61786
-0.03096,2,1.621298
0.185759,2,1.624604
0.0,1,1.626393
-0.03096,2,1.629768
0.0,1,1.631454
0.566563,3,1.636255
0.0,1,1.638017
0.0,1,1.639597
0.0,1,1.641345
0.0,1,1.643138
0.185759,2,1.64635
-0.03096,2,1.649774
0.0,1,1.651467
0.0,1,1.653122
0.0,1,1.65484
0.0,1,1.656537
0.0,1,1.658125
0.0,1,1.659778
0.185759,2,1.662946
0.0,1,1.66457
0.0,1,1.666147
0.0,1,1.667899
0.0,1,1.669596
0.0,1,1.671276
0.185759,2,1.67471
0.0,1,1.67657
-0.03096,2,1.67997
0.0,1,1.681565
0.0,1,1.683247
0.185759,2,1.686436
0.0,1,1.68823
0.0,1,1.689826
0.371517,3,1.694829
0.0,1,1.696395
0.0,1,1.69824
0.0,1,1.69999
0.0,1,1.701617
0.0,1,1.703164
0.0,1,1.704741
0.0,1,1.706477
-0.03096,2,1.712424
0.185759,2,1.717659
0.371517,3,1.723377
0.0,1,1.725207
0.154799,3,1.733623
0.0,1,1.735897
0.0,1,1.738249
0.0,1,1.740522
0.0,1,1.742939
0.0,1,1.74453
0.371517,3,1.749806
0.0,1,1.751408
0.0,1,1.752989
0.185759,2,1.756132
0.0,1,1.757639
0.185759,2,1.760848
0.0,1,1.762442
0.0,1,1.763944
0.0,1,1.765492
0.0,1,1.76704
0.185759,2,1.770042
0.0,1,1.771517
0.0,1,1.773079
0.0,1,1.774616
0.185759,2,1.777618
0.0,1,1.779143
0.0,1,1.780641
0.0,1,1.782179
0.185759,2,1.785176
0.0,1,1.786726
0.185759,2,1.789899
0.0,1,1.791489
0.185759,2,1.79459
0.0,1,1.79619
0.0,1,1.797767
0.185759,2,1.800945
0.0,1,1.802556
0.0,1,1.804126
0.0,1,1.805706
0.0,1,1.80726
0.0,1,1.808871
0.185759,2,1.812068
0.0,1,1.813669
0.0,1,1.815227
0.185759,2,1.818411
0.0,1,1.820066
0.0,1,1.82163
0.0,1,1.823187
0.185759,2,1.826241
0.0,1,1.827823
0.0,1,1.829412
-0.03096,2,1.832513
0.0,1,1.834019
0.0,1,1.835585
0.0,1,1.83715
-0.03096,2,1.840681
0.0,1,1.842253
0.0,1,1.843786
0.0,1,1.845366
0.185759,2,1.848367
0.0,1,1.849839
0.0,1,1.851409
0.0,1,1.852951
0.0,1,1.854516
0.0,1,1.856181
0.154799,3,1.860792
0.0,1,1.862409
0.0,1,1.863907
0.0,1,1.865473
0.0,1,1.867024
0.0,1,1.868613
0.0,1,1.870166
0.0,1,1.871667
0.0,1,1.873169
0.0,1,1.87489
0.185759,2,1.878382
-0.03096,2,1.882758
0.0,1,1.885049
0.278638,6,1.895305
0.0,1,1.896998
0.0,1,1.898583
0.0,1,1.900147
0.154799,3,1.90483
0.0,1,1.906502
0.0,1,1.908491
0.185759,2,1.912241
0.0,1,1.913847
0.0,1,1.915418
0.0,1,1.916946
0.0,1,1.918588
0.0,1,1.920276
0.0,1,1.921799
-0.03096,2,1.925091
0.0,1,1.927108
0.0,1,1.929459
0.0,1,1.931037
0.0,1,1.93261
0.0,1,1.934186
0.0,1,1.935687
0.154799,3,1.940254
0.0,1,1.942073
-0.06192,3,1.951231
0.0,1,1.953601
-0.06192,3,1.960004
-0.03096,2,1.963558
0.0,1,1.965192
0.0,1,1.966837
0.0,1,1.968487
-0.03096,2,1.971668
0.0,1,1.97333
0.0,1,1.974972
0.185759,2,1.978359
-0.03096,2,1.982329
-0.03096,2,1.985509
0.0,1,1.987097
0.0,1,1.988593
0.0,1,1.990131
0.0,1,1.991838
0.0,1,1.993589
0.0,1,1.995391
0.371517,3,2.001434
-0.03096,2,2.00463
0.0,1,2.00622
0.0,1,2.00789
0.0,1,2.009813
0.0,1,2.011655
0.185759,2,2.0159
0.0,1,2.017467
0.0,1,2.018995
0.0,1,2.02055
0.185759,2,2.023647
0.0,1,2.025184
0.0,1,2.027039
-0.03096,2,2.03049
0.0,1,3.033494
0.0,1,3.035934
0.0,1,3.038248
0.0,1,3.040474
0.0,1,3.042774
-0.03096,2,3.046463
-0.03096,2,3.050977
0.0,1,3.052642
0.371517,3,3.057514
-0.03096,2,3.061082
0.0,1,3.062933
0.0,1,3.06527
0.0,1,3.066927
0.0,1,3.068496
0.0,1,3.070111
0.185759,2,3.073436
0.0,1,3.075002
0.0,1,3.076893
0.185759,2,3.080509
0.154799,3,3.085887
0.0,1,3.087481
0.0,1,3.089031
0.0,1,3.090712
0.0,1,3.092281
0.0,1,3.094137
0.0,1,3.096085
0.0,1,3.09844
0.0,1,3.100073
0.0,1,3.101706
-0.03096,2,3.104896
0.0,1,3.106512
0.185759,2,3.109584
0.0,1,3.111354
0.0,1,3.113275
0.0,1,3.115668
0.0,1,3.117366
-0.092879,4,3.123548
0.0,1,3.125165
0.0,1,3.127288
0.185759,2,3.131918
0.0,1,3.133723
0.0,1,3.13536
0.0,1,3.137165
0.0,1,3.138731
0.0,1,3.140407
0.0,1,3.142116
0.0,1,3.14431
0.0,1,3.146035
0.0,1,3.147978
0.0,1,3.149571
0.0,1,3.151162
0.0,1,3.152759
0.0,1,3.154327
-0.03096,2,3.157471
0.185759,2,3.161407
0.0,1,3.162984
0.185759,2,3.16617
0.0,1,3.167726
0.0,1,3.169297
0.0,1,3.170879
0.0,1,3.172471
0.0,1,3.174117
0.0,1,3.1759
0.185759,2,3.179708
0.0,1,3.181266
0.0,1,3.215855
0.0,1,3.217442
0.0,1,3.218991
0.0,1,3.220503
0.0,1,3.222029
0.0,1,3.2236
0.0,1,3.22526
0.0,1,3.227555
0.154799,3,3.23278
0.0,1,3.234366
0.0,1,3.235844
0.0,1,3.237418
0.0,1,3.238981
0.0,1,3.240575
0.0,1,3.242064
0.0,1,3.24422
0.0,1,3.245923
0.0,1,3.247812
0.0,1,3.249405
0.185759,2,3.252375
0.185759,2,3.255432
0.0,1,3.257037
0.0,1,3.25865
-0.06192,3,3.264483
0.0,1,3.266097
0.185759,2,3.269183
-0.03096,2,3.27227
-0.03096,2,3.275332
0.0,1,3.277598
0.0,1,3.279291
0.0,1,3.281206
0.185759,2,3.284192
0.0,1,3.285729
0.154799,3,3.290154
0.0,1,3.291937
0.0,1,3.294123
0.0,1,3.2957
0.0,1,3.297948
0.0,1,3.29951
0.0,1,3.301054
0.0,1,3.302661
0.0,1,3.304203
0.0,1,3.305745
0.0,1,3.307456
0.566563,3,3.31276
0.185759,2,3.31617
0.0,1,3.317717
0.0,1,3.319313
0.0,1,3.320831
0.0,1,3.322418
0.185759,2,3.325677
0.0,1,3.327716
0.0,1,3.329285
0.0,1,3.331267
-0.03096,2,3.334341
0.0,1,3.33591
0.0,1,3.337498
0.0,1,3.339093
0.185759,2,3.342382
0.0,1,3.344414
-0.06192,3,3.349444
0.185759,2,3.352553
0.185759,2,3.355618
0.0,1,3.35729
0.340557,4,3.364563
0.0,1,3.36614
0.0,1,3.367742
0.0,1,3.369284
0.0,1,3.370836
0.0,1,3.372391
0.0,1,3.374108
0.0,1,3.375731
0.0,1,3.377778
0.0,1,3.379565
0.0,1,3.381258
0.0,1,3.382794
0.0,1,3.38438
0.0,1,3.385918
0.0,1,3.387474
0.0,1,3.389044
0.0,1,3.390699
0.0,1,3.392319
0.0,1,3.394443
-0.03096,2,3.397942
0.0,1,3.399565
0.0,1,3.401112
0.0,1,3.402688
0.0,1,3.404255
0.0,1,3.405832
0.0,1,3.407624
0.0,1,3.409245
0.0,1,3.411299
0.0,1,3.413054
0.0,1,3.414778
0.0,1,3.416292
-0.03096,2,3.419261
0.0,1,3.420838
0.0,1,3.422379
0.0,1,3.4241
0.0,1,3.425714
0.0,1,3.427773
0.0,1,3.429389
0.154799,3,3.434272
0.0,1,3.435859
0.0,1,3.437411
0.0,1,3.438956
0.0,1,3.440614
-0.092879,4,3.447666
0.0,1,3.449277
0.185759,2,3.452403
0.0,1,3.453936
0.0,1,3.455534
0.0,1,3.457111
0.0,1,3.458879
0.0,1,3.461151
0.0,1,3.462945
0.0,1,3.464686
0.0,1,3.466228
0.0,1,3.467768
0.0,1,3.469316
