#{"t_start": 1630948023.0520587, "env_id": "imitationNM/SortingOnions-v0"}
r,l,t
0.0,1,1.700834
0.0,1,1.704652
0.0,1,1.706411
0.0,1,1.708189
0.371517,3,1.71425
0.0,1,1.718435
0.0,1,1.721502
0.0,1,1.724296
0.0,1,1.725906
0.154799,3,1.730698
0.185759,2,1.734819
-0.03096,2,1.738083
0.0,1,1.739663
0.0,1,1.741307
0.0,1,1.742944
0.0,1,1.744582
0.185759,2,1.74779
0.0,1,1.749599
0.0,1,1.751513
0.0,1,1.753051
0.0,1,1.754525
0.185759,2,1.757722
0.185759,2,1.760772
0.0,1,1.762325
0.185759,2,1.765498
0.0,1,1.767004
0.0,1,1.76865
0.185759,2,1.773195
0.0,1,1.775653
0.0,1,1.777977
0.0,1,1.780253
0.0,1,1.782592
0.371517,3,1.787947
0.185759,2,1.791102
0.0,1,1.792773
0.0,1,1.794333
0.0,1,1.795925
0.185759,2,1.799438
0.0,1,1.801168
0.0,1,1.802798
0.0,1,1.804395
0.0,1,1.805935
0.0,1,1.807513
0.0,1,1.80909
0.0,1,1.810878
0.185759,2,1.814168
0.0,1,1.816084
0.0,1,1.818506
0.0,1,1.820831
0.0,1,1.823198
0.0,1,1.825478
0.0,1,1.827751
0.0,1,1.829481
0.0,1,1.831022
0.0,1,1.832638
0.0,1,1.834207
0.0,1,1.835718
0.0,1,1.837283
0.0,1,1.838846
-0.03096,2,1.841988
0.0,1,1.843579
0.0,1,1.845207
0.0,1,1.846786
0.0,1,1.848355
0.185759,2,1.851567
-0.03096,2,1.854625
0.0,1,1.856303
0.0,1,1.857873
-0.06192,3,1.862587
0.0,1,1.864222
0.0,1,1.865946
0.0,1,1.867599
0.0,1,1.869211
0.0,1,1.870852
0.0,1,1.872432
0.0,1,1.873923
0.0,1,1.875548
-0.03096,2,1.878693
0.0,1,1.880357
0.0,1,1.882234
-0.03096,2,1.88589
0.185759,2,1.889163
0.0,1,1.891877
0.0,1,1.89437
0.0,1,1.896792
0.0,1,1.899137
0.185759,2,1.902585
0.0,1,1.904219
-0.03096,2,1.907434
0.0,1,1.909001
-0.03096,2,1.912225
0.0,1,1.913719
0.0,1,1.9154
0.0,1,1.916995
