#{"t_start": 1630966422.831313, "env_id": "imitationNM/SortingOnions-v0"}
r,l,t
0.185759,2,1.706951
0.185759,2,1.710627
0.0,1,1.712741
-0.03096,2,1.716488
-0.03096,2,1.719802
-0.03096,2,1.723181
0.0,1,1.72501
0.0,1,1.727152
0.557276,3,1.732782
0.0,1,1.734495
0.0,1,1.736208
0.0,1,1.738004
0.0,1,1.739698
-0.03096,2,1.743112
0.0,1,1.744901
0.0,1,1.74654
0.0,1,1.748101
-0.03096,2,1.751574
0.0,1,1.753318
0.0,1,1.754952
0.0,1,1.756646
0.0,1,1.758299
0.0,1,1.759989
-0.03096,2,1.763264
0.0,1,1.765034
-0.06192,3,1.76995
-0.03096,2,1.773564
-0.03096,2,1.777452
0.0,1,1.779059
0.557276,3,1.784272
0.0,1,1.786222
0.0,1,1.787884
0.0,1,1.789541
0.0,1,1.791222
-0.03096,2,1.794631
0.185759,2,1.797938
-0.03096,2,1.801282
0.0,1,1.802901
0.0,1,1.804568
0.0,1,1.806328
0.0,1,1.808055
-0.06192,3,1.81314
0.0,1,1.814922
0.0,1,1.816625
0.0,1,1.818358
0.0,1,1.820147
0.0,1,1.821849
0.0,1,1.823578
0.0,1,1.825293
0.557276,3,1.830331
-0.03096,2,1.833545
0.185759,2,1.836989
0.0,1,1.838706
0.185759,2,1.842001
0.0,1,1.843668
0.0,1,1.845324
0.0,1,1.846969
0.0,1,1.848622
0.0,1,1.850203
0.0,1,1.851889
0.0,1,1.853557
0.0,1,1.855205
0.0,1,1.856894
0.0,1,1.858563
0.185759,2,1.861815
-0.03096,2,1.865366
0.0,1,1.867025
0.0,1,1.868608
0.185759,2,1.871954
0.185759,2,1.875269
0.0,1,1.877003
0.557276,3,1.88195
0.340557,4,1.88849
-0.03096,2,1.891831
0.0,1,1.893576
0.0,1,1.895295
-0.03096,2,1.898556
0.0,1,1.900286
0.0,1,1.901973
-0.092879,4,1.908642
0.0,1,1.910375
0.0,1,1.912016
0.0,1,1.91369
0.185759,2,1.916935
0.154799,3,1.921864
0.0,1,1.92359
0.185759,2,1.926787
0.371517,3,1.931506
0.0,1,1.933183
0.0,1,1.934828
0.0,1,1.93645
0.0,1,1.938044
0.371517,3,1.942911
0.0,1,1.944575
0.0,1,1.946124
0.0,1,1.947783
0.0,1,1.9494
0.0,1,1.951013
0.0,1,1.952577
0.185759,2,1.956213
0.0,1,1.957792
0.154799,3,1.966567
0.0,1,1.969149
0.185759,2,1.972383
0.0,1,1.973998
0.185759,2,1.977132
0.0,1,1.978736
0.0,1,1.980336
0.0,1,1.981951
0.0,1,1.983532
0.0,1,1.985004
0.0,1,1.986621
-0.06192,3,1.991318
0.0,1,1.992947
0.0,1,1.994556
0.0,1,1.996176
0.0,1,1.997703
0.0,1,1.999312
0.0,1,2.000902
0.0,1,2.002566
