#{"t_start": 1631037587.8230069, "env_id": "imitationNM/SortingOnions-v0"}
r,l,t
-0.03096,2,1.815213
0.0,1,1.816995
0.185759,2,1.820339
0.0,1,1.821933
0.0,1,1.823766
0.0,1,1.827613
0.0,1,1.831134
0.566563,3,1.837891
0.0,1,1.840014
-0.03096,2,1.843232
0.0,1,1.845119
0.0,1,1.846738
0.0,1,1.850016
0.0,1,1.852514
0.0,1,1.854976
0.0,1,1.857388
0.185759,2,1.861386
0.185759,2,1.864557
0.0,1,1.866076
0.0,1,1.867666
0.185759,2,1.87077
0.0,1,1.872245
0.0,1,1.873776
0.0,1,1.875273
0.0,1,1.876817
0.0,1,1.878443
0.0,1,1.879955
-0.06192,3,1.884537
-0.06192,3,1.889026
0.0,1,1.890653
-0.03096,2,1.893688
-0.03096,2,1.89685
0.185759,2,1.89985
0.0,1,1.901372
0.0,1,1.902986
0.0,1,1.90454
0.185759,2,1.907628
0.185759,2,1.910711
0.0,1,1.912282
0.0,1,1.913864
0.0,1,1.915331
0.0,1,1.916895
0.0,1,1.918465
0.0,1,1.920459
0.0,1,1.922184
0.154799,3,1.926832
0.185759,2,1.930114
0.0,1,1.931629
0.0,1,1.933167
0.185759,2,1.936233
0.0,1,1.937801
0.185759,2,1.940818
0.0,1,1.942369
0.0,1,1.943889
0.0,1,1.94545
0.0,1,1.946988
0.0,1,1.948551
-0.03096,2,1.951592
0.0,1,1.95317
0.0,1,1.954726
0.0,1,1.95628
0.0,1,1.957835
-0.03096,2,1.960851
0.0,1,1.962445
0.185759,2,1.965445
0.0,1,1.967261
0.0,1,1.968683
-0.03096,2,1.971793
0.0,1,1.973319
0.0,1,1.974885
0.0,1,1.976501
-0.03096,2,1.979593
0.566563,3,1.984266
0.0,1,1.985857
-0.03096,2,1.989024
0.371517,3,1.993628
0.0,1,1.995287
0.0,1,1.996799
0.0,1,1.99835
0.0,1,1.999836
-0.03096,2,2.002992
0.0,1,2.004502
0.0,1,2.00611
-0.03096,2,2.009258
0.185759,2,2.012381
0.185759,2,2.015568
0.0,1,2.017198
0.0,1,2.018735
-0.03096,2,2.021847
0.0,1,2.023376
0.0,1,2.024998
0.371517,3,2.029565
0.0,1,2.031208
0.185759,2,2.034309
0.0,1,2.035774
0.0,1,2.037467
0.185759,2,2.040563
0.0,1,2.042113
0.371517,3,2.046753
0.185759,2,2.049906
0.185759,2,2.053109
0.185759,2,2.056314
0.0,1,2.05793
0.371517,3,2.062719
0.0,1,2.064404
0.0,1,2.066025
0.0,1,2.067648
0.0,1,2.069253
0.0,1,2.070774
0.185759,2,2.073914
0.0,1,2.075514
0.0,1,2.077087
0.0,1,2.078686
0.0,1,2.080191
0.0,1,2.081795
0.0,1,2.083297
0.0,1,2.084953
0.0,1,2.086447
0.0,1,2.088053
0.0,1,2.089554
0.154799,3,2.094151
0.0,1,2.095749
0.185759,2,2.098921
0.0,1,2.100493
0.0,1,2.10205
0.0,1,2.103614
0.0,1,2.105228
0.0,1,2.106832
0.0,1,2.108503
0.0,1,2.110013
0.0,1,2.111539
0.0,1,2.113151
0.0,1,2.114744
0.0,1,2.116383
-0.03096,2,2.119519
0.0,1,2.121114
0.0,1,2.122702
0.185759,2,2.125861
0.0,1,2.1274
0.0,1,2.129005
0.0,1,2.130542
0.0,1,2.132089
0.0,1,2.133667
0.0,1,2.135069
-0.03096,2,2.138267
0.371517,3,2.142872
0.0,1,2.144526
0.0,1,2.146131
0.0,1,2.147739
-0.03096,2,2.151895
0.0,1,2.154775
0.0,1,2.157588
0.371517,3,2.16386
0.185759,2,2.166888
0.0,1,2.168501
0.0,1,2.170018
0.0,1,2.171597
0.0,1,2.173195
0.0,1,2.174747
-0.03096,2,2.178018
-0.03096,2,2.18105
0.0,1,2.18266
0.0,1,2.184254
0.0,1,2.185839
0.185759,2,2.188914
0.185759,2,2.192642
0.0,1,2.194332
0.185759,2,2.197469
0.0,1,2.199103
-0.03096,2,2.202155
0.0,1,2.203809
0.185759,2,2.206874
0.0,1,2.208527
0.0,1,2.210101
0.0,1,2.211869
0.0,1,2.213506
0.0,1,2.215091
0.0,1,2.216651
0.0,1,2.218224
0.185759,2,2.221372
0.185759,2,2.224452
0.0,1,2.226007
0.0,1,2.227595
0.185759,2,2.230729
0.0,1,2.232388
0.0,1,3.152146
0.0,1,3.154094
0.0,1,3.155687
0.185759,2,3.158977
0.0,1,3.160705
0.0,1,3.163481
0.0,1,3.165717
0.0,1,3.167435
-0.03096,2,3.170572
0.0,1,3.172171
0.185759,2,3.175337
0.0,1,3.176928
0.0,1,3.178945
0.185759,2,3.182338
0.0,1,3.183983
0.371517,3,3.18855
0.0,1,3.19013
0.371517,3,3.194705
0.0,1,3.196492
0.0,1,3.198083
0.0,1,3.199977
0.0,1,3.201549
0.185759,2,3.204735
0.0,1,3.206282
0.0,1,3.207772
0.0,1,3.209351
-0.03096,2,3.212482
0.0,1,3.214046
0.185759,2,3.217093
0.0,1,3.21868
0.185759,2,3.221868
0.185759,2,3.224953
-0.03096,2,3.228059
0.0,1,3.229685
0.0,1,3.231237
0.0,1,3.232744
0.0,1,3.234316
0.185759,2,3.237371
-0.092879,4,3.243457
0.0,1,3.245045
0.0,1,3.246598
0.0,1,3.248108
0.0,1,3.249661
0.0,1,3.251187
0.0,1,3.252699
0.0,1,3.254234
0.0,1,3.25571
0.0,1,3.257289
0.0,1,3.258801
-0.03096,2,3.261873
0.185759,2,3.264858
0.0,1,3.266433
0.0,1,3.267998
0.185759,2,3.271041
0.185759,2,3.274163
-0.06192,3,3.27869
-0.03096,2,3.281744
0.0,1,3.283324
0.0,1,3.284822
0.0,1,3.286316
0.0,1,3.287888
0.0,1,3.289394
0.0,1,3.290892
0.0,1,3.292474
0.0,1,3.293972
0.0,1,3.29547
0.0,1,3.297059
0.0,1,3.298563
0.185759,2,3.30157
0.185759,2,3.304628
0.0,1,3.306179
0.0,1,3.307716
0.185759,2,3.31079
0.0,1,3.312371
0.0,1,3.313947
0.0,1,3.315475
-0.03096,2,3.318571
0.154799,3,3.323182
0.0,1,3.324706
0.0,1,3.326274
0.0,1,3.327866
0.0,1,3.329418
0.0,1,3.330958
0.154799,3,3.335534
0.0,1,3.337084
0.185759,2,3.34018
0.0,1,3.341726
0.185759,2,3.344789
0.0,1,3.346335
0.154799,3,3.350922
0.185759,2,3.354002
