#{"t_start": 1631038245.4456336, "env_id": "imitationNM/SortingOnions-v0"}
r,l,t
-0.06192,3,1.50037
0.0,1,1.502799
0.0,1,1.505265
-0.03096,2,1.509478
0.0,1,1.511062
0.0,1,1.512803
0.185759,2,1.516608
0.0,1,1.518851
0.185759,2,1.522202
0.0,1,1.523899
-0.03096,2,1.527258
0.0,1,1.528898
0.0,1,1.530754
0.0,1,1.532471
0.0,1,1.53407
0.0,1,1.535719
0.185759,2,1.539317
0.0,1,1.541094
0.0,1,1.542749
-0.03096,2,1.545997
0.0,1,1.547678
-0.06192,3,1.552566
0.0,1,1.554232
0.0,1,1.555973
0.0,1,1.557608
0.0,1,1.559278
0.154799,3,1.564225
0.0,1,1.565941
0.185759,2,1.569214
0.0,1,1.570912
0.371517,3,1.575885
0.0,1,1.577542
0.0,1,1.579548
0.0,1,1.581167
-0.03096,2,1.584666
0.0,1,1.586293
0.0,1,1.588053
0.0,1,1.589646
0.185759,2,1.593063
0.185759,2,1.596533
0.0,1,1.598216
0.0,1,1.599868
0.0,1,1.601695
0.0,1,1.603547
0.0,1,1.605162
0.0,1,1.606838
0.0,1,1.608679
-0.03096,2,1.611985
0.0,1,1.613714
0.0,1,1.615456
0.0,1,1.617071
0.185759,2,1.620195
0.0,1,1.621847
0.0,1,1.623487
0.0,1,1.625098
0.0,1,1.626753
-0.03096,2,1.63003
0.0,1,1.631673
0.154799,3,1.639682
0.0,1,1.64133
0.0,1,1.643023
0.0,1,1.644694
0.0,1,1.646286
0.0,1,1.647883
0.0,1,1.649492
0.0,1,1.651175
0.0,1,1.652876
0.0,1,1.654543
0.0,1,1.656163
0.0,1,1.657833
0.0,1,1.659445
0.0,1,1.661121
0.0,1,1.662809
0.0,1,1.664508
-0.03096,2,1.667617
0.185759,2,1.670859
0.0,1,1.672506
0.0,1,1.67414
0.0,1,1.675739
0.0,1,1.677366
0.0,1,1.679005
0.0,1,1.680639
0.154799,3,1.68543
0.0,1,1.687083
0.0,1,1.688559
0.185759,2,1.691668
0.185759,2,1.694846
0.0,1,1.696482
0.0,1,1.699411
0.185759,2,1.704974
-0.03096,2,1.708326
-0.03096,2,1.711558
0.0,1,1.713167
0.0,1,1.714721
0.0,1,1.716283
0.0,1,1.717913
0.0,1,1.719509
0.0,1,1.721083
-0.03096,2,1.724207
0.0,1,1.725865
-0.03096,2,1.72915
0.0,1,1.730822
-0.06192,3,1.735565
0.0,1,1.73721
0.0,1,1.7389
0.0,1,1.740442
0.0,1,1.742132
0.0,1,1.74371
0.0,1,1.745337
0.0,1,1.746951
0.0,1,1.748569
0.0,1,1.75016
0.185759,2,1.753353
0.0,1,1.75495
0.0,1,1.756555
0.0,1,1.758166
0.185759,2,1.761314
0.0,1,1.762906
-0.03096,2,1.766074
0.0,1,1.767636
0.0,1,1.76926
0.0,1,1.770948
0.371517,3,1.775589
0.0,1,1.777138
-0.03096,2,1.780411
0.0,1,1.782046
0.0,1,1.783636
0.0,1,1.785259
0.0,1,1.78687
-0.03096,2,1.789912
0.0,1,1.791478
0.0,1,1.793066
0.0,1,1.794686
-0.03096,2,1.797853
0.185759,2,1.800986
0.0,1,1.80266
0.0,1,1.804306
0.0,1,1.805846
0.154799,3,1.810687
0.0,1,1.812355
0.0,1,1.813963
0.154799,3,1.818646
0.0,1,1.820364
0.0,1,1.822007
0.185759,2,1.825292
0.0,1,1.826872
0.0,1,1.82853
0.0,1,1.830133
0.0,1,1.831785
0.0,1,1.833431
0.185759,2,1.836508
0.0,1,1.838104
0.0,1,1.83971
0.0,1,1.841319
0.0,1,1.842907
0.0,1,1.844482
0.185759,2,1.847569
0.0,1,1.849187
0.0,1,1.850829
0.0,1,1.852414
-0.03096,2,1.855619
-0.03096,2,1.858866
0.0,1,1.860426
0.0,1,1.861987
0.0,1,1.86353
0.0,1,1.865158
-0.06192,3,1.869923
0.0,1,1.87151
0.0,1,1.873109
0.0,1,1.874725
0.0,1,1.876272
0.0,1,1.877801
0.0,1,1.879496
0.0,1,1.881131
-0.06192,3,1.886355
0.0,1,1.88784
0.0,1,1.889424
0.0,1,1.891021
0.0,1,1.892575
-0.03096,2,1.895694
-0.03096,2,1.898835
0.0,1,1.900393
0.0,1,1.902028
0.0,1,1.904918
0.0,1,1.907717
0.0,1,1.910137
0.371517,3,1.916702
0.0,1,1.918372
0.0,1,1.919978
0.0,1,1.92155
-0.03096,2,1.924707
0.0,1,1.926352
0.0,1,1.927943
0.0,1,2.833436
0.0,1,2.836047
0.0,1,2.83902
0.154799,3,2.844625
0.0,1,2.846274
0.0,1,2.847991
0.0,1,2.849965
0.185759,2,2.853636
0.0,1,2.855429
-0.03096,2,2.858697
0.0,1,2.860252
0.185759,2,2.863472
0.371517,3,2.868544
0.185759,2,2.87172
0.154799,3,2.876346
0.0,1,2.877941
0.0,1,2.879422
0.371517,3,2.884155
0.0,1,2.886022
0.185759,2,2.889159
0.0,1,2.890773
0.0,1,2.89237
0.185759,2,2.895431
0.185759,2,2.898491
0.0,1,2.900108
0.0,1,2.901698
0.185759,2,2.90473
0.0,1,2.906314
0.185759,2,2.909682
0.0,1,2.911152
0.0,1,2.912765
-0.03096,2,2.915844
0.185759,2,2.918885
0.0,1,2.920499
0.0,1,2.922038
0.0,1,2.923529
0.185759,2,2.926694
0.185759,2,2.929754
0.0,1,2.93126
0.0,1,2.93289
0.0,1,2.934559
0.0,1,2.938244
-0.03096,2,2.943505
0.0,1,2.94507
0.0,1,2.946642
0.185759,2,2.94975
0.0,1,2.951326
0.154799,3,2.956064
0.0,1,2.957656
0.185759,2,2.96079
0.185759,2,2.963995
0.0,1,2.965607
0.340557,4,2.971895
0.185759,2,2.97498
0.0,1,2.97658
0.0,1,2.978218
0.0,1,2.979783
-0.03096,2,2.982974
0.185759,2,2.985984
-0.03096,2,2.989147
0.0,1,2.990681
0.0,1,2.992268
0.0,1,2.993852
0.0,1,2.995419
0.0,1,2.997004
0.0,1,2.998565
0.0,1,3.000035
0.154799,3,3.004671
0.0,1,3.006335
0.0,1,3.007878
-0.03096,2,3.010911
0.0,1,3.012401
-0.03096,2,3.015611
0.0,1,3.017175
0.0,1,3.018773
0.0,1,3.020348
0.0,1,3.021899
0.371517,3,3.02656
0.0,1,3.028207
0.0,1,3.029769
0.185759,2,3.032874
0.0,1,3.034496
0.185759,2,3.037537
0.0,1,3.039131
0.185759,2,3.042241
0.0,1,3.043814
0.0,1,3.045369
0.0,1,3.046956
0.185759,2,3.050063
0.185759,2,3.053122
0.0,1,3.054708
0.0,1,3.056289
-0.03096,2,3.059438
0.0,1,3.060976
0.0,1,3.062506
0.0,1,3.064051
0.0,1,3.065577
0.0,1,3.067193
0.0,1,3.068803
0.0,1,3.070312
0.185759,2,3.073499
-0.03096,2,3.076622
0.0,1,3.078218
0.0,1,3.079782
-0.03096,2,3.082894
-0.03096,2,3.08586
0.0,1,3.087486
0.0,1,3.089108
0.557276,3,3.093738
0.0,1,3.095276
0.0,1,3.096786
0.0,1,3.098307
-0.03096,2,3.10136
-0.03096,2,3.104463
0.0,1,3.106043
0.185759,2,3.109123
0.0,1,3.110769
0.154799,3,3.11541
-0.03096,2,3.11851
0.0,1,3.119986
0.0,1,3.121646
0.0,1,3.123137
0.185759,2,3.126275
0.371517,3,3.130912
0.0,1,3.132471
-0.06192,3,3.137003
-0.03096,2,3.142855
0.0,1,3.145613
0.0,1,3.147508
0.0,1,3.148992
0.0,1,3.150542
-0.03096,2,3.153732
0.0,1,3.155369
-0.03096,2,3.158637
0.0,1,3.160165
0.185759,2,3.163314
0.0,1,3.164869
0.0,1,3.166464
0.0,1,3.168029
0.0,1,3.169619
0.0,1,3.171265
0.0,1,3.172845
0.154799,3,3.177489
-0.03096,2,3.180539
0.0,1,3.182174
0.0,1,3.183696
0.340557,4,3.189751
0.0,1,3.191383
0.185759,2,3.194519
0.371517,3,3.19914
0.185759,2,3.202247
0.0,1,3.203889
0.0,1,3.205364
0.0,1,3.206963
