#{"t_start": 1631039704.4973109, "env_id": "imitationNM/SortingOnions-v0"}
r,l,t
0.0,1,1.61815
0.0,1,1.620326
0.0,1,1.62216
0.0,1,1.623862
0.0,1,1.625526
0.0,1,1.627658
0.0,1,1.630004
0.0,1,1.632416
0.0,1,1.635081
0.0,1,1.636639
0.0,1,1.638453
-0.03096,2,1.642033
0.0,1,1.643728
0.0,1,1.645423
0.0,1,1.647424
-0.03096,2,1.651128
-0.03096,2,1.654456
-0.03096,2,1.657923
0.0,1,1.659617
0.0,1,1.661316
-0.03096,2,1.664823
0.0,1,1.666485
0.0,1,1.66819
0.0,1,1.669926
0.185759,2,1.673168
-0.03096,2,1.676609
0.185759,2,1.680066
0.0,1,1.68178
0.185759,2,1.68525
0.0,1,1.686929
0.0,1,1.688724
0.0,1,1.690402
0.0,1,1.692013
0.0,1,1.693824
0.0,1,1.69552
0.0,1,1.697295
0.0,1,1.69897
-0.03096,2,1.702342
-0.03096,2,1.705687
0.371517,3,1.710841
0.0,1,1.712609
0.0,1,1.714341
0.0,1,1.716048
0.154799,3,1.721078
0.0,1,1.72277
0.0,1,1.724499
0.0,1,1.726252
0.0,1,1.727891
0.154799,3,1.733182
-0.03096,2,1.736646
0.0,1,1.738398
-0.03096,2,1.741699
0.0,1,1.743467
0.0,1,1.745194
0.0,1,1.746956
-0.03096,2,1.750364
0.185759,2,1.753862
0.0,1,1.755711
0.0,1,1.757841
0.0,1,1.759595
0.0,1,1.76132
0.0,1,1.76305
0.0,1,1.764843
0.0,1,1.766807
-0.06192,3,1.772681
0.185759,2,1.777525
0.185759,2,1.7814
0.0,1,1.78324
0.0,1,1.785153
0.185759,2,1.788405
0.0,1,1.790143
0.185759,2,1.793409
0.0,1,1.795103
0.0,1,1.79668
0.0,1,1.79839
0.0,1,1.800032
0.0,1,1.801701
0.0,1,1.803454
0.0,1,1.805157
0.0,1,1.806877
0.0,1,1.808518
0.0,1,1.810103
0.0,1,1.811778
0.0,1,1.813524
0.0,1,1.815235
0.0,1,1.81696
0.0,1,1.818668
