#{"t_start": 1631042028.6748962, "env_id": "imitationNM/SortingOnions-v0"}
r,l,t
0.0,1,1.670378
0.0,1,1.672691
0.185759,2,1.678412
0.0,1,1.681541
0.0,1,1.684435
0.0,1,1.686768
-0.03096,2,1.69136
-0.03096,2,1.695895
0.0,1,1.69834
-0.03096,2,1.702131
-0.03096,2,1.705302
0.0,1,1.707
0.185759,2,1.710138
0.0,1,1.711903
-0.03096,2,1.715826
0.0,1,1.71749
0.0,1,1.719125
0.0,1,1.720737
0.0,1,1.722322
0.185759,2,1.725501
0.0,1,1.727509
0.092879,5,1.738348
0.0,1,1.74115
0.0,1,1.742857
0.0,1,1.744823
-0.03096,2,1.748355
0.0,1,1.750285
0.154799,3,1.75535
0.154799,3,1.760956
0.0,1,1.762714
0.0,1,1.764512
0.0,1,1.766202
0.0,1,1.767806
0.185759,2,1.771027
0.154799,3,1.776091
0.185759,2,1.779851
0.185759,2,1.783591
0.0,1,1.785206
0.185759,2,1.788311
0.0,1,1.790012
-0.03096,2,1.793305
0.0,1,1.79626
0.154799,3,1.803332
0.185759,2,1.806627
0.185759,2,1.809966
0.0,1,1.811913
0.0,1,1.813784
0.0,1,1.815588
0.0,1,1.817192
0.0,1,1.818818
0.185759,2,1.822057
0.0,1,1.823687
0.0,1,1.825389
0.0,1,1.82703
0.0,1,1.828935
0.0,1,1.831043
0.0,1,1.832613
0.0,1,1.834206
-0.03096,2,1.837457
0.0,1,1.839171
0.0,1,1.840874
0.0,1,1.842479
0.185759,2,1.846037
0.0,1,1.848088
0.0,1,1.849964
0.566563,3,1.854752
0.340557,4,1.861847
0.0,1,1.863545
0.0,1,1.865429
-0.123839,5,1.873384
0.185759,2,1.876627
-0.03096,2,1.88107
0.0,1,1.882731
0.0,1,1.884234
0.0,1,1.885899
0.0,1,1.88746
-0.03096,2,1.89085
0.185759,2,1.894673
0.0,1,1.89623
0.0,1,1.898025
0.0,1,1.899554
0.0,1,1.901172
0.0,1,1.902712
0.0,1,1.904358
0.185759,2,1.907672
0.0,1,1.909321
0.0,1,1.911429
0.0,1,1.913077
0.371517,3,1.918733
0.0,1,1.920328
0.0,1,1.92201
0.0,1,1.923583
0.0,1,1.925316
0.0,1,1.926962
0.0,1,1.928914
0.0,1,1.930544
0.0,1,1.932188
0.0,1,1.933755
0.185759,2,1.936778
0.0,1,1.93831
0.0,1,1.940114
-0.06192,3,1.945367
0.0,1,1.947329
0.154799,3,1.95226
0.0,1,1.953959
0.0,1,1.955528
0.0,1,1.957388
-0.03096,2,1.961166
-0.03096,2,1.965024
0.0,1,1.966646
0.0,1,1.968216
0.0,1,1.969704
0.185759,2,1.972798
0.0,1,1.974458
0.0,1,1.97602
0.0,1,1.9779
0.185759,2,1.981979
0.185759,2,1.985531
0.0,1,1.9871
-0.06192,3,1.99174
0.0,1,1.993386
0.0,1,1.995465
0.0,1,1.997617
-0.03096,2,2.001129
0.0,1,2.002674
0.0,1,2.004248
0.0,1,2.005896
0.0,1,2.007567
0.0,1,2.009265
-0.03096,2,2.012926
0.185759,2,2.017003
0.0,1,2.018526
0.0,1,2.020054
-0.03096,2,2.02324
0.0,1,2.024829
0.0,1,2.026929
0.0,1,2.028863
0.0,1,2.030597
0.0,1,2.032263
0.0,1,2.033799
0.0,1,2.035348
0.0,1,2.036963
0.0,1,2.038727
0.154799,3,2.043597
-0.03096,2,2.047157
0.0,1,2.049204
0.0,1,2.051299
0.0,1,2.052889
0.185759,2,2.057391
0.185759,2,2.062433
0.0,1,2.064011
0.0,1,2.065731
0.0,1,2.067386
0.0,1,2.068998
-0.03096,2,2.072253
0.0,1,2.073975
0.0,1,2.075619
0.0,1,2.077312
0.0,1,2.078961
0.185759,2,2.083251
0.0,1,2.084839
0.0,1,2.086466
0.0,1,2.088007
0.0,1,2.089637
0.0,1,2.091206
0.0,1,2.092852
0.0,1,2.094978
0.0,1,2.096751
0.0,1,2.098475
0.0,1,2.100022
0.0,1,2.101537
0.371517,3,2.106993
0.0,1,2.108752
0.0,1,2.110285
0.0,1,2.112269
0.0,1,2.114527
0.0,1,2.116113
0.0,1,2.117728
0.0,1,2.1193
0.0,1,2.120896
0.0,1,2.122697
0.0,1,2.124354
0.0,1,2.125979
0.0,1,2.128196
0.0,1,3.179745
0.0,1,3.182168
0.0,1,3.184362
0.0,1,3.185989
0.0,1,3.187462
0.0,1,3.189119
0.0,1,3.190642
0.0,1,3.192228
0.0,1,3.193809
0.185759,2,3.197336
0.0,1,3.199245
0.0,1,3.200823
0.0,1,3.202419
0.0,1,3.203956
0.0,1,3.205564
0.0,1,3.207264
0.0,1,3.208857
0.0,1,3.210528
0.0,1,3.212809
0.0,1,3.214442
0.0,1,3.216061
0.0,1,3.217699
0.185759,2,3.220874
0.0,1,3.222443
0.0,1,3.224231
0.0,1,3.225815
0.0,1,3.22734
0.0,1,3.229175
0.185759,2,3.234052
0.0,1,3.235708
0.0,1,3.23731
-0.03096,2,3.240815
0.0,1,3.24254
0.0,1,3.244225
0.0,1,3.246258
0.0,1,3.248132
0.0,1,3.24992
0.185759,2,3.253074
0.0,1,3.254668
0.0,1,3.25649
-0.06192,3,3.261772
0.0,1,3.263593
0.0,1,3.265567
0.185759,2,3.268799
0.0,1,3.270387
0.0,1,3.271996
0.185759,2,3.27531
0.0,1,3.276966
0.0,1,3.279105
0.0,1,3.280689
0.0,1,3.283937
0.185759,2,3.28861
0.0,1,3.290865
0.0,1,3.293172
0.0,1,3.294855
0.185759,2,3.298452
0.185759,2,3.301538
0.0,1,3.303108
0.185759,2,3.306097
0.0,1,3.307989
0.0,1,3.30957
0.0,1,3.311162
0.0,1,3.313303
0.0,1,3.315365
0.0,1,3.317056
0.0,1,3.318528
0.0,1,3.320107
0.0,1,3.321664
0.0,1,3.323255
0.0,1,3.324916
0.0,1,3.326498
0.0,1,3.328064
0.0,1,3.329872
0.0,1,3.331552
0.0,1,3.333367
0.0,1,3.335009
0.0,1,3.3366
0.0,1,3.33824
0.0,1,3.339925
0.0,1,3.341564
0.0,1,3.343153
0.0,1,3.344866
0.0,1,3.346758
0.0,1,3.348849
-0.03096,2,3.351975
0.0,1,3.353573
-0.03096,2,3.356844
0.0,1,3.358508
0.185759,2,3.362156
-0.03096,2,3.365943
0.0,1,3.367558
0.0,1,3.369133
0.0,1,3.370641
0.0,1,3.372218
0.0,1,3.373958
0.0,1,3.375632
0.0,1,3.377285
0.0,1,3.379586
0.0,1,3.381368
0.0,1,3.383331
0.0,1,3.384938
0.185759,2,3.388144
0.0,1,3.389802
0.371517,3,3.394601
0.0,1,3.396736
0.0,1,3.398811
0.0,1,3.400426
0.0,1,3.402008
-0.03096,2,3.405122
0.0,1,3.406713
0.0,1,3.408551
-0.03096,2,3.412221
0.0,1,3.414001
0.185759,2,3.417556
0.0,1,3.419142
-0.03096,2,3.42225
0.0,1,3.423921
0.0,1,3.425566
0.340557,4,3.432773
0.0,1,3.43439
0.0,1,3.435961
0.0,1,3.437539
0.0,1,3.439106
0.0,1,3.440795
0.0,1,3.442486
0.0,1,3.444082
0.185759,2,3.44791
0.0,1,3.449931
0.0,1,3.45149
0.0,1,3.453167
0.371517,3,3.458074
0.0,1,3.459702
-0.03096,2,3.463441
0.185759,2,3.467061
-0.03096,2,3.470223
0.0,1,3.471839
0.0,1,3.473456
-0.03096,2,3.47676
0.0,1,3.478404
0.0,1,3.480258
0.0,1,3.482185
-0.03096,2,3.485327
0.185759,2,3.488482
0.0,1,3.490035
0.0,1,3.491691
0.185759,2,3.494942
-0.03096,2,3.498857
0.0,1,3.501597
0.0,1,3.503844
0.0,1,3.50614
0.0,1,3.508442
0.0,1,3.510192
0.0,1,3.511751
0.0,1,3.513447
0.0,1,3.515121
0.0,1,3.51682
0.0,1,3.518405
0.0,1,3.519998
0.185759,2,3.523299
0.0,1,3.524982
0.0,1,3.52666
0.0,1,3.528226
0.0,1,3.530168
0.0,1,3.532305
0.0,1,3.533885
0.185759,2,3.537142
0.0,1,3.538902
0.0,1,3.540622
0.0,1,3.542814
0.0,1,3.54445
0.185759,2,3.548597
0.0,1,3.550363
0.0,1,3.551946
-0.092879,4,3.558351
0.0,1,3.559991
0.0,1,3.561605
0.0,1,3.563493
0.0,1,3.56559
0.0,1,3.567184
0.0,1,3.568759
0.0,1,3.570338
0.0,1,3.571893
0.0,1,3.573502
0.0,1,3.575221
0.0,1,3.576852
0.0,1,3.578473
0.0,1,3.58019
0.0,1,3.581936
0.0,1,3.583722
0.0,1,3.619072
0.0,1,3.620746
0.0,1,3.62237
-0.03096,2,3.625658
0.0,1,3.627216
0.0,1,3.62941
0.0,1,3.631044
0.0,1,3.633008
0.0,1,3.634643
-0.03096,2,3.637805
0.0,1,3.639438
0.0,1,3.64124
0.0,1,3.642897
0.185759,2,3.646528
0.0,1,3.648399
0.0,1,3.650313
0.0,1,3.651924
0.0,1,3.653521
0.0,1,3.655126
0.0,1,3.656857
0.0,1,4.710591
0.0,1,4.714597
0.0,1,4.718605
0.0,1,4.721404
0.371517,3,4.728501
0.0,1,4.731223
0.0,1,4.733813
0.0,1,4.735788
0.0,1,4.737728
0.0,1,4.739677
0.0,1,4.741601
0.0,1,4.74339
0.0,1,4.745265
0.0,1,4.747368
0.0,1,4.749925
0.0,1,4.75171
0.0,1,4.753429
0.185759,2,4.756734
0.0,1,4.758385
-0.03096,2,4.761818
0.0,1,4.764037
0.0,1,4.765829
0.0,1,4.767722
0.0,1,4.769411
0.0,1,4.771138
0.0,1,4.772784
0.0,1,4.774402
0.185759,2,4.780988
0.0,1,4.783873
0.0,1,4.786227
0.0,1,4.788569
0.0,1,4.790519
0.0,1,4.79223
-0.03096,2,4.795374
0.0,1,4.797415
0.0,1,4.79915
0.0,1,4.801088
0.0,1,4.802685
0.0,1,4.804346
0.0,1,4.805918
0.0,1,4.807608
0.0,1,4.810576
0.0,1,4.813751
0.0,1,4.816905
0.0,1,4.818845
0.0,1,4.820444
0.0,1,4.822015
0.0,1,4.823574
0.0,1,4.825306
0.0,1,4.826993
0.0,1,4.828652
0.0,1,4.830745
0.0,1,4.832595
0.0,1,4.834476
0.0,1,4.83611
0.0,1,4.837747
0.0,1,4.839364
0.0,1,4.841041
0.0,1,4.842885
0.0,1,4.84461
0.0,1,4.846776
0.0,1,4.848398
0.0,1,4.850516
0.0,1,4.8522
0.0,1,4.853889
0.0,1,4.85554
0.0,1,4.857239
0.0,1,4.859059
0.0,1,4.860819
0.0,1,4.86252
0.0,1,4.864441
0.0,1,4.866158
0.0,1,4.867827
0.0,1,4.869477
0.0,1,4.871074
0.0,1,4.872705
0.0,1,4.874315
0.0,1,4.876011
0.0,1,4.877703
0.0,1,4.879295
0.0,1,4.88109
-0.03096,2,4.884566
0.0,1,4.886118
0.0,1,4.887662
0.0,1,4.889241
0.0,1,4.890805
0.0,1,4.892584
0.0,1,4.894186
0.0,1,4.895714
0.0,1,4.897903
0.0,1,4.899568
0.0,1,4.901252
0.0,1,4.902802
0.0,1,4.904495
0.0,1,4.906085
0.0,1,4.907721
0.185759,2,4.91101
0.0,1,4.912625
0.0,1,4.914566
0.0,1,4.916304
0.0,1,4.918034
0.0,1,4.919614
0.0,1,4.921182
0.0,1,4.922787
0.0,1,4.924407
0.0,1,4.9262
0.0,1,4.927877
0.0,1,4.929479
0.0,1,4.931312
0.0,1,4.933419
0.0,1,4.935148
0.0,1,4.937121
0.0,1,4.938737
0.0,1,4.940345
0.0,1,4.942163
0.0,1,4.943826
-0.03096,2,4.947898
0.0,1,4.949646
0.0,1,4.951308
0.0,1,4.952823
0.0,1,4.95438
0.0,1,4.955903
0.185759,2,4.959275
0.0,1,4.960903
0.0,1,4.962469
0.0,1,4.96464
0.0,1,4.966702
0.0,1,4.968305
0.0,1,4.969906
0.0,1,4.971477
0.0,1,4.973094
0.0,1,4.974853
0.0,1,4.976546
0.0,1,4.978136
0.0,1,4.98036
0.0,1,4.982014
0.0,1,4.983974
0.0,1,4.986762
0.0,1,4.989742
0.0,1,4.992975
0.0,1,4.994658
0.0,1,4.996378
0.0,1,4.998014
0.0,1,5.000006
0.0,1,5.001644
0.0,1,5.00329
0.0,1,5.004956
0.0,1,5.006583
0.0,1,5.008245
0.371517,3,5.013712
0.0,1,5.015455
0.0,1,5.017395
0.0,1,5.019048
0.0,1,5.020694
0.0,1,5.022333
0.0,1,5.02396
0.0,1,5.025643
0.0,1,5.027361
0.0,1,5.029031
0.0,1,5.031343
0.0,1,5.033022
0.0,1,5.034682
0.0,1,5.036202
0.0,1,5.037797
0.0,1,5.039362
0.0,1,5.040909
0.0,1,5.042551
0.0,1,5.044163
0.0,1,5.045772
0.185759,2,5.049639
-0.03096,2,5.052936
0.0,1,5.05454
0.0,1,5.056139
0.0,1,5.057806
0.0,1,5.059471
0.185759,2,5.062645
0.0,1,5.064542
0.0,1,5.066255
0.0,1,5.067955
0.0,1,5.069579
0.0,1,5.071182
0.0,1,5.072758
0.0,1,5.074363
0.0,1,5.076044
0.0,1,5.077649
0.0,1,5.079262
0.0,1,5.081401
0.0,1,5.083449
0.0,1,5.08512
0.0,1,5.086746
0.0,1,5.088366
0.185759,2,5.091626
0.185759,2,5.09491
0.0,1,5.097146
0.0,1,5.098782
0.0,1,5.100768
0.0,1,5.102365
0.0,1,5.103976
0.0,1,5.105608
0.0,1,5.107152
0.0,1,5.108799
0.0,1,5.110415
0.0,1,5.112021
0.0,1,5.114232
0.0,1,5.115919
0.0,1,5.117947
0.0,1,5.119622
0.0,1,5.121194
0.0,1,5.122793
0.0,1,5.124489
0.0,1,5.126144
0.0,1,5.127814
0.0,1,5.129422
-0.03096,2,5.132936
0.0,1,5.134678
-0.03096,2,5.137764
0.0,1,5.139359
0.0,1,5.140903
0.0,1,5.142587
0.0,1,5.144183
0.0,1,5.145796
0.0,1,5.148062
0.0,1,5.149719
0.0,1,5.151364
0.0,1,5.152972
0.0,1,5.154562
0.0,1,5.156117
0.0,1,5.15774
0.0,1,5.159569
0.0,1,5.161269
0.0,1,5.16293
0.0,1,5.164808
0.0,1,5.166824
0.185759,2,5.170136
0.0,1,5.171744
0.0,1,5.1734
0.0,1,6.20054
0.0,1,6.203514
0.0,1,6.205913
0.0,1,6.208308
0.0,1,6.21037
0.0,1,6.212006
0.0,1,6.213663
0.0,1,6.215734
0.0,1,6.217767
0.0,1,6.219416
0.0,1,6.221055
0.0,1,6.222696
0.0,1,6.224338
0.0,1,6.226099
0.0,1,6.227776
0.0,1,6.22955
0.0,1,6.231806
0.0,1,6.234432
0.0,1,6.236066
0.0,1,6.237701
0.0,1,6.239321
0.0,1,6.240893
0.0,1,6.242553
0.0,1,6.244258
0.0,1,6.245921
0.0,1,6.248088
0.185759,2,6.251736
0.0,1,6.253371
0.0,1,6.254984
0.0,1,6.25661
0.0,1,6.258215
0.0,1,6.259967
0.0,1,6.261596
0.185759,2,6.265244
0.0,1,6.266991
0.0,1,6.26897
0.0,1,6.270554
0.0,1,6.272115
0.0,1,6.273728
0.0,1,6.275429
0.0,1,6.277129
0.0,1,6.278785
0.0,1,6.280413
0.0,1,6.282253
0.0,1,6.283995
0.0,1,6.285791
0.0,1,6.28736
0.0,1,6.288999
0.0,1,6.290578
0.0,1,6.292168
0.0,1,6.294039
0.0,1,6.295669
0.0,1,6.297592
0.0,1,6.299455
0.0,1,6.301653
0.0,1,6.30323
0.0,1,6.304853
0.0,1,6.3064
0.0,1,6.307965
0.0,1,6.30974
0.0,1,6.311392
0.0,1,6.312977
0.0,1,6.315174
0.0,1,6.31707
0.0,1,6.319022
0.0,1,6.3206
0.185759,2,6.323724
0.0,1,6.325438
0.0,1,6.327218
0.0,1,6.329406
0.0,1,6.331543
0.0,1,6.333152
0.0,1,6.335216
0.0,1,6.336882
0.0,1,6.338458
0.0,1,6.340041
0.0,1,6.341674
0.0,1,6.343334
0.0,1,6.346124
0.0,1,6.34922
0.0,1,6.352335
0.0,1,6.354551
0.0,1,6.356209
0.0,1,6.357872
0.0,1,6.359601
0.0,1,6.361334
0.0,1,6.363017
0.0,1,6.365229
0.0,1,6.366899
0.0,1,6.368967
